racer,athlete_name,athlete_url,distance,year,best_time,best_time_seconds,best_date,best_venue
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_10k,2016,42:57,2577.0,04/12/2016,Sheffield
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_10k,2017,41:31,2491.0,03/12/2017,Sheffield
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_10k,2018,39:40,2380.0,25/11/2018,Doncaster
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_10k,2019,39:40,2380.0,01/12/2019,Sheffield
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_10k,2020,40:12,2412.0,15/03/2020,Dronfield Woodhouse
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_10k,2021,36:10,2170.0,05/12/2021,Sheffield
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_10k,2022,34:35,2075.0,04/12/2022,Sheffield
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_10k,2023,34:48,2088.0,06/08/2023,York
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_10k,2024,36:53,2213.0,29/09/2024,Sheffield
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_10k,2025,34:52,2092.0,18/04/2025,Salford
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_10k,2026,35:59,2159.0,11/01/2026,"Valencia, ESP"
Aaron Francis,Aaron Francis,https://www.powerof10.uk/Home/Athlete/d8c68749-1fe4-4de8-8304-979716c8605e,p10_5k,2021,18:13,1093.0,28/08/2021,Sheffield
