racer,year,chase_time_seconds,chase_time,5km_best_seconds,5km_best_time,10km_best_seconds,10km_best_time
Aaron Francis,2021,1670,00:27:50,1093.0,00:18:13,2170.0,00:36:10
Aaron Francis,2025,1595,00:26:35,1002.0,00:16:42,2092.0,00:34:52
Al Cook,2017,1750,00:29:10,,,3089.0,00:51:29
Al Cook,2019,1668,00:27:48,,,2398.0,00:39:58
Al Cook,2021,1684,00:28:04,,,,
Al Cook,2022,1710,00:28:30,,,,
Al Cook,2023,1808,00:30:08,1169.0,00:19:29,,
Al Cook,2025,1818,00:30:18,1178.0,00:19:38,,
Alan Chapman,2023,2297,00:38:17,,,3185.0,00:53:05
Alan Chapman,2024,2513,00:41:53,,,3352.0,00:55:52
Alex Day,2021,1535,00:25:35,,,,
Alex Day,2022,1526,00:25:26,1042.0,00:17:22,2056.0,00:34:16
Andrew Lewis,2024,2423,00:40:23,,,3546.0,00:59:06
Andrew Lewis,2025,2450,00:40:50,,,3602.0,01:00:02
Austin Frost,2017,1566,00:26:06,,,,
Austin Frost,2018,1540,00:25:40,,,,
Austin Frost,2022,1599,00:26:39,,,,
Austin Frost,2024,1656,00:27:36,,,,
Barbara Haigh,2017,2221,00:37:01,,,3550.0,00:59:10
Barbara Haigh,2018,2385,00:39:45,,,,
Barbara Haigh,2022,2487,00:41:27,,,3724.0,01:02:04
Christopher Lilley,2017,2056,00:34:16,1375.0,00:22:55,2728.0,00:45:28
Christopher Lilley,2018,2133,00:35:33,,,2726.0,00:45:26
Christopher Lilley,2019,2019,00:33:39,,,2669.0,00:44:29
Colin Earl,2017,1639,00:27:19,,,2324.0,00:38:44
Colin Earl,2019,1631,00:27:11,1172.1,00:19:32,2378.0,00:39:38
Colin Earl,2022,1662,00:27:42,,,2347.0,00:39:07
Derek Brailsford,2023,3049,00:50:49,,,,
Derek Brailsford,2024,3296,00:54:56,,,,
Derek Brailsford,2025,3216,00:53:36,,,4715.0,01:18:35
Eric Latham,2017,1795,00:29:55,1241.0,00:20:41,2714.0,00:45:14
Eric Latham,2018,1827,00:30:27,1264.0,00:21:04,2611.0,00:43:31
Eric Latham,2019,1877,00:31:17,,,,
Eric Latham,2022,1931,00:32:11,,,,
Eric Latham,2023,1997,00:33:17,,,,
Eric Latham,2024,2177,00:36:17,,,3031.0,00:50:31
Eric Latham,2025,2306,00:38:26,,,,
Helen Elleker,2019,2355,00:39:15,,,3367.0,00:56:07
Helen Elleker,2021,2409,00:40:09,,,3590.0,00:59:50
Helen Elleker,2022,2485,00:41:25,,,3715.0,01:01:55
Helen Elleker,2023,2507,00:41:47,,,,
Helen Elleker,2024,2609,00:43:29,1777.0,00:29:37,3638.0,01:00:38
Jane Cockerton,2017,2276,00:37:56,,,4880.0,01:21:20
Jane Cockerton,2018,2425,00:40:25,,,3625.0,01:00:25
Jane Cockerton,2019,2640,00:44:00,,,4043.0,01:07:23
Jane Cockerton,2021,2656,00:44:16,,,,
Jane Cockerton,2022,2729,00:45:29,,,,
Jane Cockerton,2023,2822,00:47:02,,,,
Jane Cockerton,2024,2800,00:46:40,,,4095.0,01:08:15
Jane Cockerton,2025,2716,00:45:16,,,,
Jo Gleig,2022,2514,00:41:54,,,3467.0,00:57:47
Jo Gleig,2023,2446,00:40:46,1640.0,00:27:20,3583.0,00:59:43
Jo Gleig,2024,2466,00:41:06,1523.0,00:25:23,3233.0,00:53:53
Keith Swainson,2022,1483,00:24:43,932.0,00:15:32,1973.0,00:32:53
Keith Swainson,2023,1765,00:29:25,,,2004.0,00:33:24
Keith Swainson,2024,1675,00:27:55,,,1954.0,00:32:34
Keith Swainson,2025,1517,00:25:17,912.0,00:15:12,1935.0,00:32:15
Kenny Rowe,2017,2099,00:34:59,,,3020.0,00:50:20
Kenny Rowe,2018,2064,00:34:24,,,3296.0,00:54:56
Kenny Rowe,2019,2106,00:35:06,,,3266.0,00:54:26
Kenny Rowe,2022,2556,00:42:36,,,3729.0,01:02:09
Kenny Rowe,2023,2721,00:45:21,,,,
Kevin Doyle,2017,1594,00:26:34,1066.0,00:17:46,2217.0,00:36:57
Kevin Doyle,2018,1507,00:25:07,1100.0,00:18:20,2347.0,00:39:07
Kevin Doyle,2021,1657,00:27:37,,,2486.0,00:41:26
Kevin Doyle,2022,1649,00:27:29,,,,
Kevin Doyle,2023,1800,00:30:00,,,,
Kevin Doyle,2024,1662,00:27:42,,,,
Kevin Doyle,2025,1817,00:30:17,,,,
Kevin Randall,2018,2000,00:33:20,,,2742.0,00:45:42
Kevin Randall,2019,2000,00:33:20,,,2815.0,00:46:55
Kevin Randall,2021,2090,00:34:50,,,2990.0,00:49:50
Kevin Randall,2022,2072,00:34:32,,,3036.0,00:50:36
Mark Gamsu,2019,1887,00:31:27,,,2715.0,00:45:15
Mark Gamsu,2021,1953,00:32:33,,,2806.0,00:46:46
Mark Gamsu,2023,2128,00:35:28,,,3000.0,00:50:00
Mark Gamsu,2024,2168,00:36:08,,,3012.0,00:50:12
Mark Platton,2017,1907,00:31:47,,,2588.0,00:43:08
Mark Platton,2018,1782,00:29:42,,,2546.0,00:42:26
Mark Platton,2019,1746,00:29:06,,,2547.0,00:42:27
Mark Platton,2021,1775,00:29:35,,,,
Mark Platton,2022,1893,00:31:33,,,,
Nick Hails,2021,1967,00:32:47,,,2644.0,00:44:04
Nick Hails,2022,1967,00:32:47,,,2559.0,00:42:39
Nick Hails,2023,1868,00:31:08,1202.0,00:20:02,2557.0,00:42:37
Nick Hails,2024,1954,00:32:34,1203.0,00:20:03,2515.0,00:41:55
Nick Hails,2025,1884,00:31:24,1219.0,00:20:19,2472.0,00:41:12
Oli Constable,2021,1774,00:29:34,,,2381.0,00:39:41
Oli Constable,2022,1752,00:29:12,1197.0,00:19:57,2345.0,00:39:05
Oli Constable,2024,1745,00:29:05,,,2199.0,00:36:39
Pat Goodall,2017,1958,00:32:38,,,,
Pat Goodall,2018,1956,00:32:36,,,3064.0,00:51:04
Pat Goodall,2019,1968,00:32:48,,,,
Pat Goodall,2021,1925,00:32:05,,,,
Pat Goodall,2022,2048,00:34:08,,,,
Pat Goodall,2023,2270,00:37:50,1551.0,00:25:51,,
Pat Goodall,2024,2228,00:37:08,1566.0,00:26:06,3291.0,00:54:51
Pat Goodall,2025,2358,00:39:18,1833.0,00:30:33,3494.0,00:58:14
Paul Middlemas,2019,1507,00:25:07,,,2224.0,00:37:04
Paul Middlemas,2021,1524,00:25:24,,,,
Paul Middlemas,2022,1491,00:24:51,1024.0,00:17:04,2051.0,00:34:11
Paul Middlemas,2023,1493,00:24:53,998.0,00:16:38,2007.0,00:33:27
Richard Ward,2019,1850,00:30:50,1228.0,00:20:28,2620.0,00:43:40
Richard Ward,2021,1784,00:29:44,1253.0,00:20:53,2476.0,00:41:16
Richard Ward,2022,1807,00:30:07,1193.0,00:19:53,2556.0,00:42:36
Richard Ward,2023,1865,00:31:05,1225.0,00:20:25,2595.0,00:43:15
Rob Davies,2017,1806,00:30:06,,,2667.0,00:44:27
Rob Davies,2018,1739,00:28:59,,,2716.0,00:45:16
Rob Davies,2019,1705,00:28:25,,,2670.0,00:44:30
Rob Davies,2021,1908,00:31:48,,,,
Russell Stevenson,2017,1794,00:29:54,,,,
Russell Stevenson,2021,1976,00:32:56,,,,
Russell Stevenson,2022,1828,00:30:28,,,2345.0,00:39:05
Simon Wiles,2018,1951,00:32:31,,,2825.0,00:47:05
Simon Wiles,2019,1994,00:33:14,,,2851.0,00:47:31
Simon Wiles,2021,2085,00:34:45,,,,
Stuart Scott,2019,1609,00:26:49,,,2068.0,00:34:28
Stuart Scott,2021,1573,00:26:13,1037.0,00:17:17,,
Stuart Scott,2022,1546,00:25:46,982.0,00:16:22,2047.0,00:34:07
Stuart Scott,2023,1569,00:26:09,,,2008.0,00:33:28
